character,gender,good_vs_bad,universe,first_movie,release_year,sentiment_score
Nico Minoru,Female,Heroine,Marvel,None,None,5.696416666666666
Old Lace,Other,Hero,Marvel,None,None,5.414074074074079
Wolf Spider,Other,Villain,Marvel,None,None,5.320694444444441
Dr. Highland,Female,Neutral,Other,None,None,5.490930232558143
Sarah Proctor,Female,Neutral,Other,None,None,5.478964059196612
Girl Squirrel,Female,Heroine,Disney,The Sword in the Stone,1963,5.476332882273338
Mandarin,Other,Villain,Disney,None,None,5.252191609267374
Agent Franklin,Male,Neutral,Other,None,None,5.4421290322580615
Agent Rodriguez,Female,Neutral,Other,None,None,5.443174157303369
Mrs. Chen,Female,Neutral,Other,Shang-Chi and the Legend of the Ten Rings,None,5.813632478632478
Ruihua Chen,Male,Neutral,Other,Shang-Chi and the Legend of the Ten Rings,None,5.7874193548387085
Waipo Chen,Female,Neutral,Other,Shang-Chi and the Legend of the Ten Rings,None,5.703543689320386
Xu Xialing,Female,Heroine,Other,Shang-Chi and the Legend of the Ten Rings,None,5.639944134078212
Aayla Secura,Female,Heroine,Star Wars,Star Wars: Attack of the Clones,None,5.316036400404449
Kit Fisto,Male,Hero,Star Wars,Star Wars: Attack of the Clones,None,5.270987261146498
Shaak Ti,Female,Heroine,Star Wars,Star Wars: Attack of the Clones,None,5.304805555555553
Prosset Dibs,Male,Villain,Star Wars,None,None,5.272226027397257
Qui-Gon Jinn,Male,Hero,Star Wars,Star Wars: The Phantom Menace,None,5.286056166056173
Count Dooku,Male,Villain,Star Wars,Star Wars: Attack of the Clones,None,5.161618405394679
Jar Jar Binks,Male,Hero,Star Wars,Star Wars: The Phantom Menace,None,5.332068713450296
Maul,Male,Villain,Star Wars,Star Wars: The Phantom Menace,None,5.194710798328566
Wedge Antilles,Male,Hero,Star Wars,A New Hope,None,5.237340590979783
Knights of Ren,Other,Villain,Other,Star Wars: The Force Awakens,2015,5.223212226066898
Luminara Unduli,Female,Heroine,Star Wars,Star Wars: Attack of the Clones,None,5.3223006833713
Qi'ra,Female,Heroine,Other,Solo,2018,5.278537604456824
Unkar Plutt,Male,Villain,Other,Star Wars: The Force Awakens,2015,5.288034934497817
Vexis,Male,Neutral,Other,Star Wars: The Rise of Skywalker,2019,5.251825726141074
Vi Moradi,Female,Heroine,Star Wars,None,None,5.392186836518043
Bail Organa,Male,Hero,Star Wars,Star Wars: Attack of the Clones,None,5.210875627440033
Gabe Duncan,Male,Hero,Disney,"Good Luck Charlie, It's Christmas!",2011,5.5511386138613865
Grogu,Male,Hero,Other,The LEGO Star Wars Holiday Special,2020,5.279737484737487
Yoyo (Donald Duck),Male,Neutral,Disney,None,None,5.490517241379311
Barriss Offee,Other,Heroine,Star Wars,Star Wars: Attack of the Clones,None,5.180965250965246
General Grievous,Male,Villain,Star Wars,Star Wars: Revenge of the Sith,None,5.239735384615385
Jabba the Hutt,Male,Villain,Star Wars,Star Wars: The Phantom Menace,None,5.350802650957287
Asajj Ventress,Female,Heroine,Star Wars,Star Wars: The Clone Wars,None,5.231933064050777
Bo-Katan Kryze,Female,Heroine,Star Wars,None,None,5.185435203094784
Cara Dune,Female,Heroine,Other,None,None,5.3256898395721946
Crosshair,Male,Hero,Other,None,None,5.145030800821355
Din Djarin,Male,Hero,Other,The LEGO Star Wars Holiday Special,2020,5.262232905982904
Echo (Star Wars),Male,Hero,Star Wars,None,None,5.199403836184553
Fennec Shand,Female,Heroine,Star Wars,None,None,5.239220240564073
Hunter (Star Wars),Male,Hero,Other,None,None,5.124194880264234
Koska Reeves,Female,Heroine,Other,None,None,5.2639527720739245
Mandalorian,Other,Neutral,Star Wars,None,None,5.251002592912709
Moff Gideon,Male,Villain,Other,None,None,5.162124645892358
Tech,Male,Hero,Other,None,None,5.157715355805244
Thrawn,Male,Villain,Other,None,None,5.2226184944238
Droidekas,Other,Villain,Star Wars,Star Wars: The Phantom Menace,None,5.195022831050228
Kalani,Other,Villain,Star Wars,None,None,5.034076163610721
Wrecker,Male,Hero,Other,None,None,5.205123739688357
Admiral Ackbar,Male,Hero,Star Wars,Star Wars: Return of the Jedi,None,5.251797820823243
C1-10P,Other,Hero,Other,Rogue One,2016,5.340764774044035
Cikatro Vizago,Male,Neutral,Other,None,None,5.197052341597794
Gall Trayvis,Male,Villain,Other,None,None,5.289300970873784
Mouse (Fish Hooks),Female,Heroine,Disney,None,None,5.565473684210526
Quarrie,Male,Neutral,Disney,None,None,5.43867158671587
Rukh,Male,Villain,Other,None,None,5.246488730723597
Django,Male,Hero,Pixar,Ratatouille,2007,5.475505836575872
Hondo Ohnaka,Male,Villain,Star Wars,None,None,5.2353875476493
Purrgil,Other,Hero,Other,None,None,5.2880981595092
Bodhi Rook,Male,Hero,Other,Rogue One,2016,5.335425531914894
Cassian Andor,Male,Hero,Other,Rogue One,2016,5.243728813559316
Galen Erso,Male,Hero,Other,Rogue One,2016,5.301634877384193
Jyn Erso,Female,Heroine,Other,Rogue One,2016,5.229858156028367
Arihnda Pryce,Female,Villain,Other,None,None,5.231079584775081
Cumberlayne Aresko,Male,Villain,Other,None,None,5.176326923076921
Kassius Konstantine,Male,Villain,Other,None,None,5.2160944595822025
Myles Grint,Male,Villain,Other,None,None,5.293365384615384
Plo Koon,Male,Hero,Star Wars,Star Wars: The Phantom Menace,None,5.2930217391304355
Sixth Brother,Male,Villain,Star Wars,None,None,5.2544073647871095
Tseebo,Male,Neutral,Other,None,None,5.314295900178251
Mon Mothma,Female,Heroine,Star Wars,Star Wars: Return of the Jedi,None,5.222572413793099
Babyface,Male,Hero,Pixar,Toy Story,1995,5.563176144244101
Chatter Telephone,Male,Hero,Pixar,Toy Story 3,2010,5.553849493487695
Daisy (Toy Story),Female,Neutral,Pixar,Toy Story 3,2010,5.486620583717354
Ken Carson,Male,Hero,Pixar,Toy Story 3,2010,5.4842305630026855
Blaster,Male,Hero,Disney,G-Force,2009,5.546262975778549
Eighth Brother,Male,Villain,Other,None,None,5.286018766756026
Ephraim and Mira Bridger,Female,Hero,Other,None,None,5.352846715328467
Fenn Rau,Male,Hero,Other,None,None,5.258618042226485
Fyrnock,Other,Villain,Other,None,None,5.230136986301371
Gar Saxon,Male,Villain,Star Wars,None,None,5.2381203007518815
Krykna,Other,Neutral,Other,None,None,5.256466165413531
The Bendu,Male,Neutral,Other,None,None,5.222519083969465
Valen Rudor,Male,Villain,Other,None,None,5.279775510204077
Dok-Ondar,Male,Neutral,Star Wars,None,None,5.4355172413793085
Depa Billaba,Female,Heroine,Star Wars,Star Wars: The Phantom Menace,None,5.241821862348176
Kazuda Xiono,Male,Hero,Other,None,None,5.191578947368419
Lor San Tekka,Male,Hero,Other,Star Wars: The Force Awakens,2015,5.3172545090180385
L3-37,Other,Heroine,Other,Solo,2018,5.415367647058828
Nien Nunb,Male,Hero,Star Wars,Star Wars: Return of the Jedi,None,5.219509202453988
Puffer Pig,Other,Neutral,Other,None,None,5.420862068965518
Bookworm,Male,Neutral,Pixar,Toy Story 3,2010,5.544517906336086
Buttercup,Male,Hero,Pixar,Toy Story 3,2010,5.531591320072329
Stretch (Toy Story),Female,Heroine,Pixar,Toy Story 3,2010,5.524228456913822
Koozebanian Phoob,Male,Neutral,Other,None,None,5.509166666666665
Dryden Vos,Male,Villain,Other,Solo,2018,5.265108556832693
BB-9E,Other,Villain,Other,Star Wars: The Last Jedi,2017,5.365255102040817
Vice Admiral Holdo,Female,Heroine,Other,Star Wars: The Last Jedi,2017,5.364007490636703
Vulptex,Other,Neutral,Other,Star Wars: The Last Jedi,2017,5.467164502164499
Tobias Beckett,Male,Villain,Other,Solo,2018,5.282314709236032
Allegiant General Pryde,Male,Villain,Other,Star Wars: The Rise of Skywalker,2019,5.36677494199536
Enfys Nest,Female,Heroine,Other,Solo,2018,5.498392857142858
Ikaris,Male,Hero,Marvel,Eternals,None,5.506011904761901
Jarek Yeager,Male,Hero,Other,None,None,5.331697247706422
IG-88,Other,Villain,Star Wars,Star Wars: The Empire Strikes Back,None,5.222128279883381
Yogar Lyste,Male,Villain,Other,None,None,5.263955823293173
Amy Duncan,Female,Heroine,Disney,"Good Luck Charlie, It's Christmas!",2011,5.575417376490633
Bob Duncan,Male,Hero,Disney,"Good Luck Charlie, It's Christmas!",2011,5.5463576158940375
Charlie Duncan,Female,Heroine,Disney,"Good Luck Charlie, It's Christmas!",2011,5.685753176043557
Frank Duncan,Male,Hero,Disney,None,None,5.794626865671644
Hank Blankenhooper,Male,Neutral,Disney,None,None,5.810051020408161
Ivy Wentz,Female,Heroine,Disney,"Good Luck Charlie, It's Christmas!",2011,5.684112627986349
Jake Marcan,Male,Neutral,Disney,None,None,5.520674157303371
Jo Keener,Female,Heroine,Disney,None,None,5.522553495007131
Lauren Dabney,Female,Heroine,Disney,None,None,5.95276923076923
Linda Duncan,Female,Heroine,Disney,None,None,5.627208588957056
Mary Lou Wentz,Female,Neutral,Disney,None,None,5.7893207547169805
Mel Duncan,Male,Hero,Disney,None,None,5.572275641025643
Mrs. Dabney,Female,Villain,Disney,None,None,5.591497695852538
Petunia Blankenhooper,Female,Heroine,Other,None,None,5.683692307692305
PJ Duncan,Male,Hero,Disney,"Good Luck Charlie, It's Christmas!",2011,5.507669552669551
Teddy Duncan,Female,Heroine,Disney,"Good Luck Charlie, It's Christmas!",2011,5.619658444022766
Toby Duncan,Male,Neutral,Disney,None,None,5.694557377049176
Greef Karga,Male,Hero,Other,None,None,5.248325608342982
Abbey Willson,Female,Heroine,Disney,None,None,5.607227414330221
Riley Daring,Female,Heroine,Disney,None,None,5.55952214452215
Shelly Klutzberry,Female,Heroine,Disney,None,None,5.543451327433629
Tasumi,Female,Heroine,Disney,None,None,5.529421613394218
Tiffany Willson,Female,Neutral,Disney,Abbey Willson,None,5.777592592592591
Agent B,Female,Heroine,Disney,None,None,5.615490196078433
Agent G,Male,Hero,Disney,None,None,5.610542635658915
Agent K,Female,Heroine,Disney,None,None,5.498865096359744
Celebrity Starr,Other,Villain,Disney,None,None,5.64455399061033
Conrad Fleem,Male,Neutral,Disney,None,None,5.454665271966526
Davey Hunkerhoff,Male,Neutral,Disney,None,None,5.51
Dick Daring,Male,Hero,Disney,None,None,5.62163333333333
Dr. Scorpius,Male,Villain,Disney,None,None,5.379502262443438
Johnny Hitswell,Male,Hero,Disney,None,None,5.611350364963507
Miley Stewart,Female,Heroine,Disney,Hannah Montana: The Movie,2009,5.5436270069987605
Dustin Dreamlake,Male,Neutral,Disney,None,None,5.7285057471264365
Jacobo Jacobo,Male,Neutral,Disney,None,None,5.645603864734294
Buzz Winters,Male,Neutral,Disney,None,None,5.610687022900766
Donny Rottweiler,Male,Villain,Disney,None,None,5.2877707006369405
Shelton Gunnar Klutzberry,Male,Neutral,Disney,None,None,5.446129032258065
Sierra McCool,Female,Villain,Disney,None,None,5.586902985074625
Amber Addison,Female,Villain,Disney,None,None,5.570616740088107
Bobby Ray Stewart,Other,Neutral,Disney,None,None,5.536106870229009
Earl Ray Stewart,Male,Neutral,Disney,None,None,5.605329341317364
Hannah Montana (character),Female,Neutral,Disney,None,None,5.742366737739868
Jackson Stewart,Male,Hero,Disney,Hannah Montana: The Movie,2009,5.649915373765869
Jake Ryan,Male,Hero,Disney,None,None,5.423271221532093
Jesse,Male,Neutral,Disney,None,None,5.581180722891564
Joannie Palumbo,Female,Villain,Disney,None,None,5.490655021834061
Malibu,Male,Neutral,Disney,None,None,5.446616766467067
Mikayla,Female,Villain,Disney,None,None,5.459509345794392
Oswald Granger,Male,Villain,Disney,None,None,5.475221238938052
Robby Ray Stewart,Male,Neutral,Disney,Hannah Montana: The Movie,2009,5.495410404624276
Roxy Roker,Female,Neutral,Disney,None,None,5.505747663551396
Ruthie Ray Stewart,Other,Neutral,Disney,None,None,5.6786096256684475
Susan Stewart,Female,Neutral,Disney,None,None,5.4489227166276315
Jennifer and Claudia,Female,Heroine,Disney,None,None,5.515721518987342
Chicken Little (2005 character),Male,Hero,Disney,Chicken Little,2005,5.441506151887988
Chicken Little (1943 character),Male,Hero,Disney,Who Framed Roger Rabbit,1988,5.508210735586477
Goosey Loosey,Female,Neutral,Disney,Chicken Little,2005,5.556336898395724
Chloe Cluck,Female,Neutral,Disney,Chicken Little,2005,5.617440273037545
Ichabod Crane,Male,Hero,Disney,The Adventures of Ichabod and Mr. Toad,1949,5.401579791499593
Foxy Loxy (2005),Female,Neutral,Disney,Chicken Little,2005,5.5226537785588725
Calista,Female,Heroine,Disney,None,None,5.538954248366012
Morgana (Sofia the First),Female,Villain,Disney,None,None,5.477859424920128
Sir Ector,Male,Neutral,Disney,The Sword in the Stone,1963,5.373089887640449
Rhoda Dendron,Female,Neutral,Other,None,None,5.633292682926829
Clovis,Female,Villain,Disney,None,None,5.474450867052022
Hammerhead Hannigan,Male,Villain,Disney,None,None,5.38095238095238
Hoof and Mouth,Male,Villain,Disney,None,None,5.444232081911259
Tantalus,Male,Villain,Disney,None,None,5.464319248826289
Tyler Nguyen-Baker's Parents,Female,Neutral,Pixar,None,None,5.491132075471698
Angel Kitty,Female,Neutral,Pixar,None,None,5.585479452054791
Fun Meal Buzz Lightyear,Male,Hero,Pixar,None,None,5.647809734513273
Hannah Phillips,Female,Neutral,Pixar,Toy Story,1995,5.573712574850303
Mr. Anderson,Male,Neutral,Disney,Toy Story 3,2010,5.573114035087714
Mr. Pricklepants,Male,Hero,Disney,Toy Story 3,2010,5.501238300935922
Peas-in-a-Pod,Female,Neutral,Pixar,Toy Story 3,2010,5.568371777476256
The Monkey,Male,Villain,Pixar,Toy Story 3,2010,5.5302706185566946
Wally B.,Male,Neutral,Pixar,Toy Story 3,2010,5.560147058823531
Darla,Female,Neutral,Pixar,Finding Nemo,2003,5.46534023668639
Dimetrodon,Other,Neutral,Disney,Fantasia,1940,5.438901960784315
Gill,Male,Hero,Pixar,Finding Nemo,2003,5.365935890097303
Moonfish,Other,Hero,Pixar,Finding Nemo,2003,5.494228329809719
Disgust,Female,Heroine,Pixar,Inside Out,2015,5.457323556370309
Fear,Male,Hero,Pixar,Inside Out,2015,5.300044280442806
Jordan (Inside Out),Male,Neutral,Pixar,Inside Out,2015,5.489265873015875
Meg (Inside Out),Female,Neutral,Pixar,Inside Out,2015,5.598290155440415
Mr. Andersen,Male,Hero,Pixar,Inside Out,2015,5.4841994750656164
Mrs. Andersen,Female,Heroine,Pixar,Inside Out,2015,5.564369158878496
Child Detection Agency,Other,Hero,Pixar,"Monsters, Inc.",2001,5.267514285714292
George Sanderson,Male,Hero,Pixar,"Monsters, Inc.",2001,5.35522513089005
Roze,Female,Neutral,Pixar,None,None,5.507719298245614
Terri and Terry Perry,Male,Neutral,Pixar,Monsters University,2013,5.420384180790951
Combat Carl,Male,Hero,Pixar,None,None,5.291468777484604
Flik,Male,Hero,Pixar,A Bug's Life,1998,5.400787686736067
Mutant Toys,Female,Hero,Pixar,Toy Story,1995,5.486325823223569
Queen Elinor,Female,Heroine,Pixar,Brave,2012,5.464122383252811
Anchor,Male,Hero,Pixar,Finding Nemo,2003,5.409630434782609
Bruce,Male,Neutral,Pixar,Finding Nemo,2003,5.39948816996619
Chum,Male,Hero,Pixar,Finding Nemo,2003,5.4551394422310775
Omnidroid v.10,Other,Villain,Pixar,The Incredibles,2004,5.273458702064899
Screenslaver,Male,Neutral,Pixar,Incredibles 2,2018,5.349283919597984
Snug Porter,Male,Neutral,Pixar,None,None,5.314402730375428
Xerek,Male,Villain,Pixar,The Incredibles,2004,5.346455223880592
Chi-Fu,Male,Neutral,Disney,Mulan,1998,5.371965234186381
Cri-Kee,Male,Hero,Disney,Mulan,1998,5.421052631578943
Fa Family Ancestors,Female,Neutral,Disney,Mulan,1998,5.441491525423724
Fa Li,Female,Neutral,Disney,Mulan,1998,5.411559633027519
Fa Zhou,Male,Hero,Disney,Mulan,1998,5.417320574162675
General Li,Male,Hero,Disney,Mulan,1998,5.393353204172873
Grandmother Fa,Female,Heroine,Disney,Mulan,1998,5.54331428571429
Hua Xiu,Female,Heroine,Disney,Mulan,1998,5.541897321428567
Khan,Male,Hero,Disney,Mulan,1998,5.426674391657006
King Fergus,Male,Hero,Pixar,Brave,2012,5.38428623320014
Little Brother,Male,Neutral,Disney,Mulan,1998,5.611313432835821
Princess Jun,Female,Neutral,Disney,Sofia the First: Once Upon a Princess,2012,5.714360189573455
The Emperor of China,Male,Neutral,Disney,Mulan,1998,5.358964788732393
The Matchmaker,Female,Heroine,Disney,Mulan,1998,5.432494226327946
Wraith (Once Upon a Time),Other,Villain,Other,None,None,5.288239130434777
"Yao, Ling, and Chien Po",Male,Hero,Disney,Mulan,1998,5.378814733770957
Lenore Shimamoto,Female,Neutral,Disney,None,None,5.559798927613943
Rainbow Unicorn,Female,Neutral,Pixar,Inside Out,2015,5.769413580246909
"Rosemary, Lavender, and Ginger",Female,Heroine,Disney,None,None,5.568159340659339
Angus,Male,Neutral,Pixar,Brave,2012,5.60107547169811
Atta,Female,Heroine,Pixar,A Bug's Life,1998,5.464011032308906
Aunt Tilly,Female,Heroine,Disney,None,None,5.570627177700344
Dot,Female,Heroine,Pixar,A Bug's Life,1998,5.414301765650073
"Harris, Hubert, and Hamish",Male,Neutral,Pixar,Brave,2012,5.422497712717288
Maudie,Female,Neutral,Pixar,Brave,2012,5.480633187772927
Mazzimo,Male,Neutral,Disney,None,None,5.566108033240992
Minimus,Male,Neutral,Disney,None,None,5.503876488095237
Mor'du,Male,Villain,Pixar,Brave,2012,5.303104967948725
Tanana,Female,Heroine,Disney,Brother Bear,2003,5.642240259740261
The Crow,Male,Neutral,Pixar,Brave,2012,5.407333333333335
Wee Dingwall,Male,Neutral,Pixar,Brave,2012,5.449760837070253
Will O' the Wisps,Other,Neutral,Pixar,Brave,2012,5.48498371335505
Young MacGuffin,Male,Neutral,Pixar,Brave,2012,5.496048158640224
Agustín Madrigal,Male,Hero,Disney,Encanto,2021,5.626542372881356
Alma Madrigal,Female,Heroine,Disney,Encanto,2021,5.488236328468434
Antonio Madrigal,Male,Hero,Disney,Encanto,2021,5.601955034213098
Bruno Madrigal,Male,Hero,Disney,Encanto,2021,5.472199906585707
Camilo Madrigal,Male,Hero,Disney,Encanto,2021,5.508128367299123
Dolores Madrigal,Female,Heroine,Disney,Encanto,2021,5.5285859491778915
Félix Madrigal,Male,Hero,Disney,Encanto,2021,5.547355438738371
Isabela Madrigal,Female,Heroine,Disney,Encanto,2021,5.581815724262214
Julieta Madrigal,Female,Heroine,Disney,Encanto,2021,5.606606619187264
Lewis Robinson,Male,Hero,Disney,Meet the Robinsons,2007,5.47423613881132
Luisa Madrigal,Female,Heroine,Disney,Encanto,2021,5.514778297989534
Mariano Guzmán,Male,Hero,Disney,Encanto,2021,5.516740947075204
Pedro Madrigal,Male,Hero,Disney,Encanto,2021,5.516156787762909
Pepa Madrigal,Female,Heroine,Disney,Encanto,2021,5.5025811870100805
Chief Tui,Male,Neutral,Disney,Moana,2016,5.5126271732131364
Fun Bun and Puddles,Other,Neutral,Disney,Ralph Breaks the Internet,2018,5.58404918032787
Matai Vasa,Male,Neutral,Disney,Moana,2016,5.690187969924814
Sina,Female,Neutral,Disney,Moana,2016,5.597552870090634
"Ting-Ting, Su, and Mei",Female,Heroine,Disney,Mulan II,2004,5.50226890756302
Priya,Female,Neutral,Disney,None,None,5.846149068322978
Boun,Male,Hero,Disney,Raya and the Last Dragon,2021,5.453353233830843
Chief Benja,Male,Neutral,Disney,Raya and the Last Dragon,2021,5.429778188539731
Druun,Other,Villain,Disney,Raya and the Last Dragon,2021,5.354019607843139
Namaari,Female,Heroine,Disney,Raya and the Last Dragon,2021,5.451710610932478
Noi,Female,Heroine,Disney,Raya and the Last Dragon,2021,5.4004223433242515
Ongis,Female,Hero,Disney,Raya and the Last Dragon,2021,5.35975177304964
Tong,Male,Hero,Disney,Raya and the Last Dragon,2021,5.391606060606056
Tuk Tuk,Male,Hero,Disney,Raya and the Last Dragon,2021,5.421430010070494
Chef Skinner,Male,Villain,Pixar,Ratatouille,2007,5.4117743589743625
Chet Alexander,Male,Neutral,Pixar,Monsters University,2013,5.409689922480621
Uncle Waldo,Male,Neutral,Disney,The Aristocats,1970,5.536256323777402
Georges Hautecourt,Male,Hero,Disney,The Aristocats,1970,5.512909760589316
Roquefort,Male,Hero,Disney,The Aristocats,1970,5.397645659928653
Sis,Female,Heroine,Disney,Robin Hood,1973,5.673916967509019
Tagalong,Female,Heroine,Disney,Robin Hood,1973,5.537529940119759
Toby Turtle,Male,Hero,Disney,Robin Hood,1973,5.5623913043478215
Trigger and Nutsy,Male,Hero,Disney,Robin Hood,1973,5.228227146814402
Vixey,Female,Heroine,Disney,The Fox and the Hound,1981,5.456377858002403
Frou-Frou,Female,Heroine,Disney,The Aristocats,1970,5.434799357945425
Chief Powhatan,Male,Hero,Disney,Pocahontas,1995,5.436637596899221
Eilonwy,Female,Heroine,Disney,The Black Cauldron,2012,5.4765904572564565
Erica Ange,Female,Heroine,Disney,None,None,5.598737864077669
Flit,Male,Hero,Disney,Pocahontas,1995,5.408193091231174
John Rolfe,Male,Hero,Disney,Pocahontas II: Journey to a New World,1998,5.401583850931683
Kocoum,Male,Hero,Disney,Pocahontas,1995,5.3588032638259255
Louis (The Princess and the Frog),Male,Hero,Disney,The Princess and the Frog,2009,5.478258404212233
Philippe,Male,Hero,Disney,Beauty and the Beast,None,5.373701799485861
Prince Jeeki,Male,Hero,Disney,Mulan II,2004,5.6453658536585385
Princess Elena,Female,Heroine,Disney,Elena and the Secret of Avalor,2016,5.408727155251984
Elvira,Female,Villain,Disney,The Aristocats,1970,5.557280701754387
Geri,Male,Neutral,Pixar,Toy Story 2,1999,5.412121212121215
"Annette, Collette, and Danielle",Female,Heroine,Disney,Lady and the Tramp,1955,5.529365482233501
Isaac (Lady and the Tramp),Other,Villain,Other,Lady and the Tramp,1955,5.490000000000001
Mr. Busy,Male,Hero,Disney,Lady and the Tramp,1955,5.411285475792984
Savage Sam (character),Male,Hero,Disney,Old Yeller,1957,5.498806584362136
Si and Am,Female,Villain,Disney,Lady and the Tramp,1955,5.447234617985126
The Dogcatcher,Male,Neutral,Disney,Lady and the Tramp II: Scamp's Adventure,2001,5.425370370370369
The Rat,Male,Villain,Disney,Lady and the Tramp,1955,5.302195121951215
Tony and Joe,Male,Neutral,Disney,Lady and the Tramp,1955,5.583915401301513
Trusty,Male,Hero,Disney,Lady and the Tramp,1955,5.44876554174067
Chairmouse,Male,Hero,Disney,The Rescuers,1977,5.432922848664684
Cody (The Rescuers),Male,Hero,Disney,The Rescuers Down Under,1990,5.364368794326241
Jake (The Rescuers),Male,Hero,Disney,The Rescuers Down Under,1990,5.325281818181812
Joanna the Goanna,Female,Villain,Disney,The Rescuers Down Under,1990,5.294265505984768
Marahute,Female,Heroine,Disney,The Rescuers Down Under,1990,5.4961714285714285
Wilbur (The Rescuers),Male,Hero,Disney,The Rescuers Down Under,1990,5.375950782997761
Amos Slade,Male,Villain,Disney,The Fox and the Hound,1981,5.290951546993581
Louie the Hot Dog Man,Male,Neutral,Disney,Oliver & Company,1988,5.386575052854115
Buster (Lady and the Tramp),Male,Villain,Disney,Lady and the Tramp II: Scamp's Adventure,2001,5.387369093231157
Old Yeller (character),Male,Hero,Disney,Old Yeller,1957,5.336040462427745
Reggie,Male,Villain,Disney,Lady and the Tramp II: Scamp's Adventure,2001,5.244389027431421
Captain Crocodile,Male,Villain,Disney,Robin Hood,1973,5.401929203539818
Alan-A-Dale,Male,Hero,Disney,Robin Hood,1973,5.467221494102234
Flamingos,Other,Neutral,Disney,Alice in Wonderland,None,5.6042056074766355
Hedgehogs,Other,Neutral,Disney,Alice in Wonderland,None,5.584465240641712
Mother Rabbit,Female,Heroine,Disney,Robin Hood,1973,5.640023952095804
Tod,Male,Hero,Disney,The Fox and the Hound,1981,5.402770301624125
Winged Baboons,Other,Villain,Disney,Oz the Great and Powerful,2013,5.316405152224821
Carrie Rawlins,Female,Heroine,Disney,Bedknobs and Broomsticks,1971,5.457319587628864
Charlie Rawlins,Male,Hero,Disney,Bedknobs and Broomsticks,1971,5.486010928961748
King Leonidas,Male,Neutral,Disney,Bedknobs and Broomsticks,1971,5.498386605783865
Miss Eglantine Price,Female,Heroine,Disney,Bedknobs and Broomsticks,1971,5.496244604316543
Paul Rawlins,Male,Hero,Disney,Bedknobs and Broomsticks,1971,5.527783783783782
Professor Emelius Browne,Male,Hero,Disney,Bedknobs and Broomsticks,1971,5.52581395348837
Otto,Male,Hero,Disney,Robin Hood,1973,5.53130555555555
Wolf Arrowmen,Other,Villain,Disney,Robin Hood,1973,5.32844827586207
Other Rabbit Siblings,Other,Neutral,Disney,Robin Hood,1973,5.642949640287769
Water Rat,Male,Hero,Disney,The Adventures of Ichabod and Mr. Toad,1949,5.413552397868559
Clarice (Beauty and the Beast),Female,Heroine,Disney,Beauty and the Beast,None,5.609826254826248
Crane,Male,Neutral,Disney,Beauty and the Beast: Belle's Magical World,1998,5.46950738916256
Elizabeth Henshaw,Female,Heroine,Disney,The Haunted Mansion,None,5.448677685950414
Le Plume,Male,Neutral,Disney,Beauty and the Beast: Belle's Magical World,1998,5.504149999999998
Sultan (Beauty and the Beast),Other,Hero,Disney,Beauty and the Beast,None,5.418201058201058
The Bookseller,Male,Hero,Disney,Beauty and the Beast,None,5.419534534534531
Wardrobe,Female,Heroine,Disney,Beauty and the Beast,None,5.45937779767233
Webster,Male,Neutral,Disney,Beauty and the Beast: Belle's Magical World,1998,5.518407643312103
Guinevere,Female,Heroine,Other,None,None,5.440215311004783
Ruth (Once Upon a Time),Female,Heroine,Other,None,None,5.507539062499999
Ogres (Once Upon a Time),Other,Villain,Other,None,None,5.389270516717321
Seer (Once Upon a Time),Female,Neutral,Other,None,None,5.3432188065099435
Chad (Once Upon a Time),Male,Neutral,Other,None,None,5.418533653846154
China Girl,Female,Heroine,Disney,Oz the Great and Powerful,2013,5.470087336244547
Evanora the Wicked Witch of the East,Female,Villain,Disney,The Muppets' Wizard of Oz,None,5.262691532258057
Finley,Male,Neutral,Disney,Oz the Great and Powerful,2013,5.369653361344539
Glinda the Good Witch of the South,Female,Heroine,Disney,The Muppets' Wizard of Oz,None,5.374353741496596
Toby Tortoise,Other,Hero,Disney,Who Framed Roger Rabbit,1988,5.5706122448979585
Big Mama,Female,Heroine,Disney,The Fox and the Hound,1981,5.579435114503813
Copper,Male,Hero,Disney,The Fox and the Hound,1981,5.3790496083550865
The Bear,Male,Neutral,Disney,The Fox and the Hound,1981,5.223026548672564
Chessur,Male,Hero,Disney,Alice in Wonderland,None,5.47471462079749
Talking Zebra,Male,Neutral,Disney,Phineas and Ferb the Movie: Across the 2nd Dimension,2011,5.448635743519778
Angry and Red,Female,Heroine,Disney,None,None,5.283459376596827
Brock Thunderstrike,Male,Neutral,Disney,None,None,5.416599190283403
Captain of the Guards,Male,Neutral,Disney,Tangled,2010,5.367540897097619
Captain Quaid,Male,Hero,Disney,None,None,5.27994269340974
Lance Strongbow,Male,Hero,Disney,None,None,5.317779751332147
Lord Demanitus,Male,Hero,Disney,None,None,5.315023342670399
Rapunzel's Prince,Male,Hero,Disney,Into the Woods,2014,5.482930513595162
Lorbs,Other,Neutral,Disney,None,None,5.40640718562874
Gideon (Pinocchio),Male,Villain,Disney,Pinocchio,1940,5.483776190476185
Harry (Stanley),Male,Neutral,Disney,Stanley's Dinosaur Round-Up,2005,5.721893939393941
Mr. Narrator (character),Male,Neutral,Disney,The Many Adventures of Winnie the Pooh,1977,5.548007448789566
The Bees,Female,Neutral,Disney,The Many Adventures of Winnie the Pooh,1977,5.431376751854905
Cash,Male,Hero,Disney,The Fox and the Hound 2,2006,5.614388297872342
